Page,#,Element,Category,Key Details
Ask MattGPT,3,Header Left (Avatar + Text),Content,"Display: flex, align-items: center. Gap: 24px. Contains Agy avatar and text."
Ask MattGPT,4,Agy Avatar (Header),Visual/Technical,"Image: ""agy_avatar_64_dark.png"". Width/height: 64px. Border-radius: 50%. Border: 3px solid white. Box-shadow: 0 4px 12px rgba(0,0,0,0.2)."
Ask MattGPT,5,Header Title,Content,"Font-size: 32px. Margin-bottom: 8px. Text: ""Ask MattGPT""."
Ask MattGPT,6,Header Subtitle,Content,"Font-size: 16px. Opacity: 0.95. Text: ""Meet Agy 🐾 — Tracking down insights from 20+ years of transformation experience""."
Ask MattGPT,7,"""How Agy searches"" Button",Interaction,"Padding: 12px 24px. Background: rgba(255,255,255,0.2). Backdrop-filter: blur(10px). Border: 2px solid rgba(255,255,255,0.3). Border-radius: 12px. Color: white. Font-weight: 600. Font-size: 15px. Cursor: pointer. White-space: nowrap. Flex-shrink: 0. Hover: background rgba(255,255,255,0.3), border-color rgba(255,255,255,0.5), transform: translateY(-2px). Onclick: toggles How It Works panel."
Ask MattGPT,8,How It Works Panel,Content,"Background: #f8f9fa. Border-bottom: 2px solid #e0e0e0. Display: none by default. Animation: slideDown 0.3s ease when shown. Contains header, body, close button."
Ask MattGPT,9,Status Bar,Technical/Data,"Display: flex. Gap: 32px. Justify-content: center. Padding: 16px 24px. Background: rgba(255,255,255,0.95). Border-bottom: 1px solid #E5E7EB. Contains 3 status items."
Ask MattGPT,10,Status Item,Content,"Display: flex, align-items: center. Gap: 8px. Font-size: 14px. Color: #6B7280. Contains label and value."
Ask MattGPT,11,Status Item (Active),Visual/Technical,"::before pulse animation. Width: 8px, height: 8px. Background: #10B981 (green). Border-radius: 50%. Animation: pulse 2s ease-in-out infinite."
Ask MattGPT,12,Welcome Container,Content,"Flex: 1. Padding: 60px 30px. Overflow-y: auto. Background: #fafafa. Display: flex, flex-direction: column, align-items: center."
Ask MattGPT,13,Main Intro Section,Visual/Technical,"Position: relative. Margin-top: -40px (overlaps status bar). Background: white. Border-radius: 24px 24px 0 0. Padding: 48px 32px 32px. Box-shadow: 0 -4px 12px rgba(0,0,0,0.05). Max-width: 900px. Width: 100%."
Ask MattGPT,14,Welcome Icon (Large Agy),Visual/Technical,"Font-size: 72px. Margin-bottom: 24px. Display: flex center. Image: ""agy_avatar_96_dark.png"". Width/height: 96px. Border-radius: 50%. Hover: transform: scale(1.05), filter: drop-shadow increase. Cursor: pointer. Animation: fadeInUp 0.6s ease-out."
Ask MattGPT,15,Welcome Title,Content,"Font-size: 28px. Color: #2c3e50. Margin-bottom: 12px. Text-align: center. Text: ""Hi, I'm Agy 🐾"". Animation: fadeInUp 0.6s ease-out 0.1s backwards."
Ask MattGPT,16,Welcome Subtitle,Content,"Text-align: center. Max-width: 650px. Margin: 0 auto 48px. Two paragraphs. Animation: fadeInUp 0.6s ease-out 0.2s backwards."
Ask MattGPT,17,Intro Text Primary,Content,"Font-size: 18px. Color: #374151. Line-height: 1.7. Font-weight: 500. Margin-bottom: 20px. Text about Plott Hound tracking skills."
Ask MattGPT,18,Intro Text Secondary,Content,"Font-size: 17px. Color: #6B7280. Line-height: 1.6. Text about understanding context."
Ask MattGPT,19,Suggested Questions Title,Content,"Font-size: 14px. Font-weight: 600. Color: #7f8c8d. Text-transform: uppercase. Margin-bottom: 20px. Text: ""Try asking:""."
Ask MattGPT,20,Suggested Questions Grid,Interaction/Logic,"Display: grid, grid-template-columns: repeat(2, 1fr). Gap: 16px. Max-width: 900px. Width: 100%. Six question cards. Animation: fadeInUp 0.6s ease-out 0.3s backwards."
Ask MattGPT,21,Suggested Question Card,Interaction,"Background: white. Border: 2px solid #E5E7EB. Border-radius: 12px. Padding: 20px 24px. Cursor: pointer. Display: flex, align-items: start. Gap: 12px. Hover: border-color #8B5CF6, background #F9FAFB, box-shadow: 0 4px 12px rgba(139,92,246,0.12), transform: translateY(-2px). Onclick: redirects to ask_mattgpt_wireframe.html."
Ask MattGPT,22,Question Icon,Visual/Technical,"Font-size: 24px. Flex-shrink: 0. Line-height: 1. Examples: ""🚀"", ""🏥"", ""💡"", ""👥"", ""⚡"", ""🎯""."
Ask MattGPT,23,Question Text,Content,"Font-size: 16px. Color: #2C363D. Line-height: 1.4. Font-weight: 500. Flex: 1. Examples: ""How did Matt transform global payments at scale?"", ""Show me Matt's GenAI work in healthcare""."
Ask MattGPT,24,Input Area,Interaction,"Padding: 48px 30px. Background: white. Border-top: 2px solid #e0e0e0. Contains input container and hint."
Ask MattGPT,25,Input Container,Interaction,"Max-width: 800px. Margin: 0 auto. Position: relative."
Ask MattGPT,26,Input Field,Interaction,"Width: 100%. Padding: 20px 140px 20px 24px. Font-size: 17px. Border: 2px solid #E5E7EB. Border-radius: 16px. Background: #FAFAFA. Font-family: inherit. Placeholder: ""Ask me anything — from building MattGPT to leading global programs..."". Focus: outline none, border-color #8B5CF6, background white, box-shadow: 0 0 0 3px rgba(139,92,246,0.1). Onkeypress Enter: redirects to ask_mattgpt_wireframe.html."
Ask MattGPT,27,Send Button,Interaction,"Position: absolute, right: 8px, top: 50%, transform: translateY(-50%). Padding: 12px 32px. Background: #8B5CF6. Color: white. Border: none. Border-radius: 12px. Font-weight: 600. Font-size: 16px. Cursor: pointer. Text: ""Ask Agy 🐾"". Hover: background #7C3AED, transform: translateY(-50%) scale(1.02). Onclick: redirects to ask_mattgpt_wireframe.html."
Ask MattGPT,28,Input Hint,Content,"Text-align: center. Font-size: 12px. Color: #95a5a6. Margin-top: 10px. Text: ""Powered by OpenAI GPT-4 with semantic search across 115 project case studies""."
